"module name","license","repository"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@apidevtools/json-schema-ref-parser@9.1.2","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@apidevtools/openapi-schemas@2.1.0","MIT","https://github.com/APIDevTools/openapi-schemas"
"@apidevtools/swagger-methods@3.0.2","MIT","https://github.com/APIDevTools/swagger-methods"
"@apidevtools/swagger-parser@10.0.3","MIT","https://github.com/APIDevTools/swagger-parser"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.5","MIT","https://github.com/babel/babel"
"@babel/core@7.28.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-decorators@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.28.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.28.6","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.5","MIT","https://github.com/babel/babel"
"@babel/types@7.28.5","MIT","https://github.com/babel/babel"
"@esbuild/win32-x64@0.25.12","MIT","https://github.com/evanw/esbuild"
"@esbuild/win32-x64@0.27.1","MIT","https://github.com/evanw/esbuild"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@jsdoc/salty@0.2.10","Apache-2.0","https://github.com/jsdoc/jsdoc"
"@mdx-js/react@3.1.1","MIT","https://github.com/mdx-js/mdx"
"@polka/url@1.0.0-next.29","MIT","https://github.com/lukeed/polka"
"@rolldown/pluginutils@1.0.0-beta.53","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-win32-x64-gnu@4.53.4","MIT","https://github.com/rollup/rollup"
"@rollup/rollup-win32-x64-msvc@4.53.4","MIT","https://github.com/rollup/rollup"
"@scarf/scarf@1.4.0","Apache-2.0","https://github.com/scarf-sh/scarf-js"
"@storybook/addon-actions@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-backgrounds@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-controls@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-docs@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-essentials@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-highlight@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-measure@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-outline@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-toolbars@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-viewport@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/blocks@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/builder-vite@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/components@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/core@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/csf-plugin@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/csf-plugin@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/global@5.0.0","MIT","https://github.com/storybookjs/global"
"@storybook/icons@1.6.0","MIT","https://github.com/storybookjs/icons"
"@storybook/manager-api@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/preview-api@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/react-dom-shim@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/theming@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/vue3-vite@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@storybook/vue3@8.6.17","MIT","https://github.com/storybookjs/storybook"
"@tailwindcss/node@4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide-win32-x64-msvc@4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide@4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/postcss@4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tsconfig/node24@24.0.3","MIT","https://github.com/tsconfig/bases"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/linkify-it@5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/markdown-it@14.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdurl@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdx@2.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@24.10.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@9.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-vue@6.0.3","MIT","https://github.com/vitejs/vite-plugin-vue"
"@volar/language-core@2.4.15","MIT","https://github.com/volarjs/volar.js"
"@volar/language-core@2.4.26","MIT","https://github.com/volarjs/volar.js"
"@volar/source-map@2.4.15","MIT","https://github.com/volarjs/volar.js"
"@volar/source-map@2.4.26","MIT","https://github.com/volarjs/volar.js"
"@volar/typescript@2.4.15","MIT","https://github.com/volarjs/volar.js"
"@volar/typescript@2.4.26","MIT","https://github.com/volarjs/volar.js"
"@vue/babel-helper-vue-transform-on@1.5.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-jsx@1.5.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-resolve-type@1.5.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/compiler-core@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/compiler-dom@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/compiler-sfc@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/compiler-ssr@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/compiler-vue2@2.7.16","MIT","https://github.com/vuejs/vue"
"@vue/devtools-api@6.6.4","MIT","https://github.com/vuejs/vue-devtools"
"@vue/devtools-core@8.0.5","MIT","https://github.com/vuejs/devtools"
"@vue/devtools-kit@8.0.5","MIT","https://github.com/vuejs/devtools"
"@vue/devtools-shared@8.0.5","MIT","https://github.com/vuejs/devtools"
"@vue/language-core@2.2.12","MIT","https://github.com/vuejs/language-tools"
"@vue/language-core@3.1.8","MIT","https://github.com/vuejs/language-tools"
"@vue/reactivity@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/runtime-core@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/runtime-dom@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/server-renderer@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/shared@3.5.25","MIT","https://github.com/vuejs/core"
"@vue/tsconfig@0.8.1","MIT","https://github.com/vuejs/tsconfig"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"acorn@8.16.0","MIT","https://github.com/acornjs/acorn"
"alien-signals@1.0.13","MIT","https://github.com/johnsoncodehk/signals"
"alien-signals@3.1.1","MIT","https://github.com/johnsoncodehk/signals"
